Symbol  ,Date  ,Close Price  ,Total Traded Quantity  ,Gain,Loss,Average Gain,Average Loss,RS,RSI
HDFCBANK,19-Feb-24,"1,417.10"," 1,72,25,878 ",0,2.8, 5.60 , 9.52 , 0.59 , 37 
HDFCBANK,20-Feb-24,"1,454.30"," 2,80,66,754 ",37.2,0, 7.85 , 8.84 , 0.89 , 47 
HDFCBANK,21-Feb-24,"1,439.15"," 2,29,46,568 ",0,15.15, 7.29 , 9.29 , 0.79 , 44 
HDFCBANK,22-Feb-24,"1,419.55"," 2,52,80,441 ",0,19.6, 6.77 , 10.02 , 0.68 , 40 
HDFCBANK,23-Feb-24,"1,420.60"," 1,49,16,726 ",1.05,0, 6.36 , 9.31 , 0.68 , 41 
HDFCBANK,26-Feb-24,"1,422.30"," 1,17,53,435 ",1.7,0, 6.03 , 8.64 , 0.70 , 41 
HDFCBANK,27-Feb-24,"1,420.15"," 1,60,43,575 ",0,2.15, 5.60 , 8.18 , 0.68 , 41 
HDFCBANK,28-Feb-24,"1,409.40"," 1,26,60,993 ",0,10.75, 5.20 , 8.36 , 0.62 , 38 
HDFCBANK,29-Feb-24,"1,403.40"," 2,66,47,850 ",0,6, 4.83 , 8.19 , 0.59 , 37 
HDFCBANK,01-Mar-24,"1,430.75"," 1,73,69,449 ",27.35,0, 6.44 , 7.61 , 0.85 , 46 
HDFCBANK,02-Mar-24,"1,430.75"," 8,95,265 ",0,0, 5.98 , 7.07 , 0.85 , 46 
HDFCBANK,04-Mar-24,"1,432.70"," 1,78,08,237 ",1.95,0, 5.69 , 6.56 , 0.87 , 46 
HDFCBANK,05-Mar-24,"1,440.85"," 1,89,95,836 ",8.15,0, 5.86 , 6.09 , 0.96 , 49 
HDFCBANK,06-Mar-24,"1,442.60"," 2,12,04,765 ",1.75,0, 5.57 , 5.66 , 0.98 , 50 
HDFCBANK,07-Mar-24,"1,446.10"," 2,46,74,023 ",3.5,0, 5.42 , 5.25 , 1.03 , 51 
HDFCBANK,11-Mar-24,"1,427.80"," 2,52,65,547 ",0,18.3, 5.04 , 6.18 , 0.81 , 45 
HDFCBANK,12-Mar-24,"1,459.55"," 3,27,09,227 ",31.75,0, 6.94 , 5.74 , 1.21 , 55 
HDFCBANK,13-Mar-24,"1,460.40"," 3,15,33,727 ",0.85,0, 6.51 , 5.33 , 1.22 , 55 
HDFCBANK,14-Mar-24,"1,455.45"," 2,62,16,079 ",0,4.95, 6.04 , 5.31 , 1.14 , 53 
HDFCBANK,15-Mar-24,"1,452.65"," 7,18,06,902 ",0,2.8, 5.61 , 5.13 , 1.09 , 52 
HDFCBANK,18-Mar-24,"1,446.05"," 1,07,18,928 ",0,6.6, 5.21 , 5.23 , 1.00 , 50 
HDFCBANK,19-Mar-24,"1,449.35"," 1,80,91,797 ",3.3,0, 5.07 , 4.86 , 1.04 , 51 
HDFCBANK,20-Mar-24,"1,431.05"," 2,18,03,047 ",0,18.3, 4.71 , 5.82 , 0.81 , 45 
HDFCBANK,21-Mar-24,"1,445.75"," 1,44,61,430 ",14.7,0, 5.43 , 5.40 , 1.00 , 50 
HDFCBANK,22-Mar-24,"1,442.85"," 2,29,90,163 ",0,2.9, 5.04 , 5.22 , 0.96 , 49 
HDFCBANK,26-Mar-24,"1,425.40"," 2,84,22,145 ",0,17.45, 4.68 , 6.10 , 0.77 , 43 
HDFCBANK,27-Mar-24,"1,440.70"," 3,10,84,334 ",15.3,0, 5.44 , 5.66 , 0.96 , 49 
HDFCBANK,28-Mar-24,"1,447.90"," 2,77,96,071 ",7.2,0, 5.56 , 5.26 , 1.06 , 51 
HDFCBANK,01-Apr-24,"1,470.50"," 1,25,99,785 ",22.6,0, 6.78 , 4.88 , 1.39 , 58 
HDFCBANK,02-Apr-24,"1,480.15"," 2,06,12,723 ",9.65,0, 6.98 , 4.53 , 1.54 , 61 
HDFCBANK,03-Apr-24,"1,482.30"," 2,27,92,193 ",2.15,0, 6.64 , 4.21 , 1.58 , 61 
HDFCBANK,04-Apr-24,"1,527.60"," 4,44,67,533 ",45.3,0, 9.40 , 3.91 , 2.41 , 71 
HDFCBANK,05-Apr-24,"1,549.55"," 2,95,27,951 ",21.95,0, 10.30 , 3.63 , 2.84 , 74 
HDFCBANK,08-Apr-24,"1,546.60"," 1,02,41,470 ",0,2.95, 9.56 , 3.58 , 2.67 , 73 
HDFCBANK,09-Apr-24,"1,546.60"," 4,09,783 ",0,0, 8.88 , 3.33 , 2.67 , 73 
HDFCBANK,09-Apr-24,"1,548.55"," 1,09,42,247 ",1.95,0, 8.38 , 3.09 , 2.72 , 73 
HDFCBANK,10-Apr-24,"1,536.35"," 1,39,03,700 ",0,12.2, 7.78 , 3.74 , 2.08 , 68 
HDFCBANK,12-Apr-24,"1,518.95"," 2,05,42,104 ",0,17.4, 7.23 , 4.71 , 1.53 , 61 
HDFCBANK,15-Apr-24,"1,494.70"," 1,17,07,624 ",0,24.25, 6.71 , 6.11 , 1.10 , 52 
HDFCBANK,16-Apr-24,"1,509.25"," 1,03,72,443 ",14.55,0, 7.27 , 5.67 , 1.28 , 56 
HDFCBANK,18-Apr-24,"1,494.70"," 1,71,17,442 ",0,14.55, 6.75 , 6.31 , 1.07 , 52 
HDFCBANK,19-Apr-24,"1,531.30"," 1,72,88,217 ",36.6,0, 8.88 , 5.86 , 1.52 , 60 
