Symbol  ,Date  ,Close Price  ,Total Traded Quantity  ,Gain,Loss,Average Gain,Average Loss,RS,RSI
HDFCBANK,12-Jul-23,"1,632.95"," 3,54,79,179 ",0,15.45, 5.98 , 7.33 , 0.82 , 45 
HDFCBANK,13-Jul-23,"1,641.10"," 2,09,56,773 ",8.15,0, 6.14 , 6.81 , 0.90 , 47 
HDFCBANK,14-Jul-23,"1,644.50"," 1,23,63,607 ",3.4,0, 5.94 , 6.32 , 0.94 , 48 
HDFCBANK,17-Jul-23,"1,678.90"," 2,46,26,464 ",34.4,0, 7.98 , 5.87 , 1.36 , 58 
HDFCBANK,17-Jul-23,612.95," 66,600 ",0,1065.95, 7.41 , 81.59 , 0.09 , 8 
HDFCBANK,18-Jul-23,"1,678.90"," 2,73,810 ",1065.95,0, 83.02 , 75.76 , 1.10 , 52 
HDFCBANK,18-Jul-23,"1,677.50"," 4,05,38,409 ",0,1.4, 77.09 , 70.45 , 1.09 , 52 
HDFCBANK,18-Jul-23,631.2," 1,42,200 ",0,1046.3, 71.58 , 140.16 , 0.51 , 34 
HDFCBANK,19-Jul-23,"1,685.10"," 1,64,67,567 ",1053.9,0, 141.75 , 130.14 , 1.09 , 52 
HDFCBANK,19-Jul-23,644.75," 1,37,400 ",0,1040.35, 131.62 , 195.16 , 0.67 , 40 
HDFCBANK,20-Jul-23,"1,688.75"," 2,81,05,474 ",1044,0, 196.79 , 181.22 , 1.09 , 52 
HDFCBANK,20-Jul-23,650.1," 3,44,400 ",0,1038.65, 182.74 , 242.46 , 0.75 , 43 
HDFCBANK,21-Jul-23,"1,675.75"," 2,10,77,124 ",1025.65,0, 242.94 , 225.15 , 1.08 , 52 
HDFCBANK,21-Jul-23,638," 3,18,600 ",0,1037.75, 225.59 , 283.19 , 0.80 , 44 
HDFCBANK,24-Jul-23,"1,678.40"," 1,60,89,722 ",1040.4,0, 283.79 , 262.96 , 1.08 , 52 
HDFCBANK,24-Jul-23,637.25," 84,000 ",0,1041.15, 263.52 , 318.55 , 0.83 , 45 
HDFCBANK,25-Jul-23,"1,696.60"," 2,79,96,298 ",1059.35,0, 320.37 , 295.79 , 1.08 , 52 
HDFCBANK,25-Jul-23,660.6," 4,45,200 ",0,1036, 297.48 , 348.66 , 0.85 , 46 
HDFCBANK,26-Jul-23,"1,690.70"," 1,23,97,179 ",1030.1,0, 349.81 , 323.76 , 1.08 , 52 
HDFCBANK,26-Jul-23,652.25," 78,600 ",0,1038.45, 324.83 , 374.81 , 0.87 , 46 
HDFCBANK,27-Jul-23,"1,673.15"," 2,98,70,651 ",1020.9,0, 374.54 , 348.04 , 1.08 , 52 
HDFCBANK,27-Jul-23,630.65," 76,800 ",0,1042.5, 347.79 , 397.64 , 0.87 , 47 
HDFCBANK,28-Jul-23,"1,643.50"," 2,05,07,842 ",1012.85,0, 395.30 , 369.24 , 1.07 , 52 
HDFCBANK,28-Jul-23,581.85," 1,70,400 ",0,1061.65, 367.06 , 418.70 , 0.88 , 47 
HDFCBANK,31-Jul-23,"1,651.20"," 1,72,82,503 ",1069.35,0, 417.22 , 388.79 , 1.07 , 52 
HDFCBANK,31-Jul-23,591.15," 1,55,400 ",0,1060.05, 387.42 , 436.74 , 0.89 , 47 
HDFCBANK,01-Aug-23,"1,662.25"," 1,76,97,094 ",1071.1,0, 436.26 , 405.54 , 1.08 , 52 
